,m,r,0,10,45,90,135
60,40.0,0.0,0.125,0.1304999999999999,0.2149999999999999,0.245,0.2935
61,40.0,1.0,0.1354999999999999,0.1394999999999999,0.2069999999999999,0.237,0.285
62,40.0,2.0,0.118,0.1384999999999999,0.2195,0.2275,0.3139999999999999
63,40.0,3.0,0.1215,0.1344999999999999,0.2049999999999999,0.2325,0.277
64,40.0,4.0,0.128,0.141,0.2149999999999999,0.2445,0.302
65,40.0,5.0,0.122,0.1404999999999999,0.2135,0.2395,0.3035
66,40.0,6.0,0.1294999999999999,0.1574999999999999,0.2259999999999999,0.2495,0.285
67,40.0,7.0,0.1235,0.142,0.2165,0.244,0.2885
68,40.0,8.0,0.126,0.1354999999999999,0.2049999999999999,0.2275,0.2845
69,40.0,9.0,0.12,0.1364999999999999,0.2115,0.2245,0.2694999999999999
70,50.0,0.0,0.1115,0.1284999999999999,0.2119999999999999,0.2105,0.304
71,50.0,1.0,0.1049999999999999,0.125,0.2099999999999999,0.2285,0.302
72,50.0,2.0,0.1135,0.134,0.2149999999999999,0.2229999999999999,0.2995
73,50.0,3.0,0.1089999999999999,0.122,0.2149999999999999,0.2365,0.3085
74,50.0,4.0,0.1075,0.121,0.2199999999999999,0.2285,0.3175
75,50.0,5.0,0.1079999999999999,0.1274999999999999,0.2069999999999999,0.2265,0.308
76,50.0,6.0,0.1025,0.1205,0.2039999999999999,0.2319999999999999,0.2925
77,50.0,7.0,0.1055,0.1169999999999999,0.2039999999999999,0.2175,0.3075
78,50.0,8.0,0.1105,0.123,0.2055,0.2249999999999999,0.306
79,50.0,9.0,0.1055,0.1264999999999999,0.2069999999999999,0.2265,0.3055
