,target,ood,m_n,avg_error,std_error,summary,config,name
10,P,P,0,0.5801,0.0194,"{'train_acc': 1, '_timestamp': 1663544217.0339851, 'final_test_err': 0.5485327313769752, 'std_err': 0.0194, '_runtime': 906.5099210739136, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 905}, 'avg_err': 0.5801, 'run_num': 9, 'train_loss': 0.0027, 'm': 0, 'n': 30}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",utpzwezy
11,P,A,10,0.5492,0.02,"{'std_err': 0.02, '_runtime': 5190.098681211472, 'train_acc': 1, 'final_test_err': 0.5711060948081264, 'avg_err': 0.5492, 'n': 30, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 5189}, 'run_num': 9, '_timestamp': 1663548055.2930791, 'train_loss': 0.002, 'm': 300}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",14yt9kul
12,P,A,9,0.5549,0.0166,"{'n': 30, '_step': 1020, 'epoch': 100, 'avg_err': 0.5549, '_runtime': 4933.533407926559, 'final_test_err': 0.5665914221218962, 'm': 270, '_wandb': {'runtime': 4933}, 'run_num': 9, 'std_err': 0.0166, 'train_acc': 1, '_timestamp': 1663546863.751983, 'train_loss': 0.0011}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 9, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",wundajyl
13,P,A,4,0.5677,0.0276,"{'run_num': 9, '_runtime': 2809.1707906723022, '_timestamp': 1663544739.3935206, 'train_loss': 0.0059, 'final_test_err': 0.5733634311512416, '_step': 1020, 'avg_err': 0.5677, 'epoch': 100, '_wandb': {'runtime': 2808}, 'std_err': 0.0276, 'train_acc': 1, 'm': 120, 'n': 30}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",u2dlwm9f
14,P,A,1,0.5752,0.0349,"{'std_err': 0.0349, 'train_acc': 0.9833, '_timestamp': 1663543304.4253392, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 1373}, 'avg_err': 0.5752, 'train_loss': 0.0553, 'final_test_err': 0.5349887133182845, 'm': 30, '_step': 1020, 'run_num': 9, '_runtime': 1374.126472234726}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",mhef6m7d
15,P,A,0,0.5801,0.0194,"{'n': 30, 'epoch': 100, '_runtime': 929.8777747154236, 'train_acc': 1, '_timestamp': 1663542860.1041586, 'm': 0, '_step': 1020, '_wandb': {'runtime': 929}, 'avg_err': 0.5801, 'run_num': 9, 'std_err': 0.0194, 'train_loss': 0.0027, 'final_test_err': 0.5485327313769752}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3s74loan
16,P,A,5,0.5639,0.0259,"{'_timestamp': 1663545170.6474433, 'final_test_err': 0.5553047404063205, '_wandb': {'runtime': 3239}, 'avg_err': 0.5639, 'run_num': 9, '_runtime': 3240.4200053215027, 'std_err': 0.0259, 'train_acc': 1, 'train_loss': 0.0115, 'm': 150, 'n': 30, '_step': 1020, 'epoch': 100}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3mpp7gfn
17,P,A,2,0.5535,0.0326,"{'_runtime': 1843.1438927650452, '_timestamp': 1663543773.3574288, 'train_loss': 0.0035, 'final_test_err': 0.5372460496613995, '_step': 1020, 'epoch': 100, 'avg_err': 0.5535, 'run_num': 9, 'train_acc': 1, 'm': 60, 'n': 30, '_wandb': {'runtime': 1842}, 'std_err': 0.0326}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3f9x9oq5
18,P,A,3,0.554,0.0328,"{'run_num': 9, 'std_err': 0.0328, '_timestamp': 1663544259.1494756, 'final_test_err': 0.562076749435666, 'm': 90, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 2328}, 'avg_err': 0.554, '_runtime': 2328.926657676697, 'train_acc': 1, 'train_loss': 0.0026, 'n': 30}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2xbsknmu
19,P,A,8,0.5553,0.0157,"{'train_acc': 1, '_timestamp': 1663546388.260986, 'final_test_err': 0.5688487584650113, 'avg_err': 0.5553, 'run_num': 9, 'std_err': 0.0157, 'm': 240, 'n': 30, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 4457}, '_runtime': 4458.032444000244, 'train_loss': 0.0009}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 8, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2u1fp0vh
20,P,A,6,0.5623,0.0255,"{'m': 180, '_step': 1020, 'epoch': 100, 'std_err': 0.0255, '_timestamp': 1663545659.778206, 'train_loss': 0.0105, 'final_test_err': 0.5304740406320542, 'n': 30, '_wandb': {'runtime': 3729}, 'avg_err': 0.5623, 'run_num': 9, '_runtime': 3729.552555799484, 'train_acc': 1}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 6, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2gazn4j2
21,P,A,7,0.5562,0.0166,"{'avg_err': 0.5562, 'run_num': 9, 'std_err': 0.0166, '_runtime': 4003.54239821434, 'train_acc': 1, '_timestamp': 1663545933.767172, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 4003}, 'train_loss': 0.0016, 'final_test_err': 0.5507900677200903, 'm': 210, '_step': 1020}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 7, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2fecvtpw
22,P,S,10,0.6151,0.0246,"{'m': 300, 'n': 30, '_step': 1020, 'avg_err': 0.6151, '_runtime': 2898.321065425873, 'train_acc': 1, '_timestamp': 1663539453.9688623, 'train_loss': 0.0016, 'epoch': 100, '_wandb': {'runtime': 2897}, 'run_num': 9, 'std_err': 0.0246, 'final_test_err': 0.5756207674943566}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2i3wsnzi
23,P,S,9,0.6163,0.0214,"{'n': 30, 'train_loss': 0.0012, 'final_test_err': 0.5981941309255079, 'avg_err': 0.6163, 'run_num': 9, 'std_err': 0.0214, '_runtime': 3031.805806159973, 'm': 270, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 3030}, 'train_acc': 1, '_timestamp': 1663539327.710648}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 9, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2z0f7m8y
24,P,S,8,0.6226,0.0298,"{'epoch': 100, '_wandb': {'runtime': 3094}, 'avg_err': 0.6226, 'std_err': 0.0298, '_runtime': 3095.2416524887085, '_timestamp': 1663539123.9332085, 'train_loss': 0.001, 'm': 240, 'n': 30, '_step': 1020, 'run_num': 9, 'train_acc': 1, 'final_test_err': 0.5914221218961626}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 8, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1ko9h7lf
25,P,S,7,0.609,0.0305,"{'avg_err': 0.609, 'std_err': 0.0305, '_runtime': 3100.7699961662292, '_timestamp': 1663538888.740822, 'm': 210, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 3099}, 'final_test_err': 0.5643340857787811, '_step': 1020, 'run_num': 9, 'train_acc': 1, 'train_loss': 0.0018}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 7, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",p00pwv33
26,P,S,6,0.6219,0.0284,"{'_step': 1020, 'run_num': 9, '_timestamp': 1663538577.2702456, 'std_err': 0.0284, '_runtime': 3226.7324166297913, 'train_acc': 0.9952, 'm': 180, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 3225}, 'avg_err': 0.6219, 'train_loss': 0.0317, 'final_test_err': 0.5846501128668171}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 6, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",8k23k7ys
27,P,S,5,0.6093,0.0252,"{'_step': 1020, 'run_num': 9, '_runtime': 2997.600568294525, '_timestamp': 1663538296.4283314, 'final_test_err': 0.5936794582392777, 'm': 150, 'epoch': 100, '_wandb': {'runtime': 2996}, 'avg_err': 0.6093, 'std_err': 0.0252, 'train_acc': 0.9944, 'train_loss': 0.013, 'n': 30}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1io3mli7
28,P,S,4,0.6151,0.0222,"{'_wandb': {'runtime': 2773}, 'run_num': 9, 'std_err': 0.0222, 'train_loss': 0.0067, 'epoch': 100, 'n': 30, '_step': 1020, 'avg_err': 0.6151, '_runtime': 2773.9188737869263, 'train_acc': 1, '_timestamp': 1663537609.9228587, 'final_test_err': 0.5869074492099322, 'm': 120}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2ozfk5mc
