,m_n,avg_error,std_error,angle,summary,config,name
42,2,0.3128,0.0165,60,"{'run_num': 9, 'std_err': 0.0165, '_runtime': 974.205470085144, 'final_test_err': 0.3415, '_step': 1020, '_wandb': {'runtime': 973}, 'avg_err': 0.3128, 'train_acc': 0.86, '_timestamp': 1663951366.888389, 'train_loss': 0.3833, 'm': 200, 'n': 100, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 60, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",23ul5fx1
43,3,0.3054,0.0175,60,"{'m': 300, 'epoch': 100, '_wandb': {'runtime': 1084}, 'avg_err': 0.3054, 'run_num': 9, 'std_err': 0.0175, '_runtime': 1085.3052253723145, 'n': 100, '_step': 1020, 'train_acc': 0.8625, '_timestamp': 1663951641.6639495, 'train_loss': 0.3732, 'final_test_err': 0.3275}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 60, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",abg0c1d3
44,4,0.3001,0.0177,60,"{'m': 400, 'n': 100, '_step': 1020, 'epoch': 100, 'final_test_err': 0.31899999999999995, 'train_loss': 0.36, '_wandb': {'runtime': 1146}, 'avg_err': 0.3001, 'run_num': 9, 'std_err': 0.0177, '_runtime': 1146.9907624721527, 'train_acc': 0.87, '_timestamp': 1663951779.4696224}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 60, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2kvw2lh9
45,5,0.3037,0.0196,60,"{'train_loss': 0.3232, 'm': 500, 'epoch': 100, '_wandb': {'runtime': 1266}, 'avg_err': 0.3037, '_runtime': 1267.6681315898895, '_timestamp': 1663952003.8590186, 'final_test_err': 0.32299999999999995, 'n': 100, '_step': 1020, 'run_num': 9, 'std_err': 0.0196, 'train_acc': 0.8767}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 60, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",jn350573
46,10,0.3266,0.0239,60,"{'_timestamp': 1663952446.3005955, 'final_test_err': 0.34650000000000003, 'm': 1000, '_wandb': {'runtime': 1319}, 'avg_err': 0.3266, 'std_err': 0.0239, '_runtime': 1320.297732591629, 'train_acc': 0.9809, 'n': 100, '_step': 1020, 'epoch': 100, 'run_num': 9, 'train_loss': 0.1311}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 60, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2sfo1dij
47,20,0.3415,0.0192,60,"{'_timestamp': 1663952744.363263, 'train_loss': 0.037, 'std_err': 0.0192, 'train_acc': 0.9986, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1591}, 'avg_err': 0.3415, 'run_num': 9, '_runtime': 1592.7236516475675, 'm': 2000, 'n': 100, 'final_test_err': 0.3335}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 60, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2721maxl
48,30,0.338,0.0176,60,"{'m': 3000, 'n': 100, 'epoch': 100, 'avg_err': 0.338, '_runtime': 1754.181036233902, '_timestamp': 1663953043.8239453, 'train_loss': 0.0184, '_step': 1020, '_wandb': {'runtime': 1753}, 'run_num': 9, 'std_err': 0.0176, 'train_acc': 0.9994, 'final_test_err': 0.34650000000000003}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 30, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 60, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2or65rln
49,40,0.3295,0.0171,60,"{'m': 4000, 'n': 100, 'epoch': 100, 'avg_err': 0.3295, 'std_err': 0.0171, '_runtime': 1963.864514350891, 'train_acc': 0.9966, '_timestamp': 1663953335.527285, '_step': 1020, '_wandb': {'runtime': 1963}, 'run_num': 9, 'train_loss': 0.0453, 'final_test_err': 0.3255}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 40, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 60, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3oyyg087
50,0,0.3798,0.0397,90,"{'_step': 1020, 'epoch': 100, '_wandb': {'runtime': 982}, 'run_num': 9, '_timestamp': 1663952452.2059977, 'train_loss': 0.4804, 'final_test_err': 0.35, 'n': 100, 'avg_err': 0.3798, 'std_err': 0.0397, '_runtime': 982.9444506168364, 'train_acc': 0.8, 'm': 0}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 90, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1lb7e209
51,1,0.3352,0.0262,90,"{'std_err': 0.0262, 'train_acc': 0.755, '_timestamp': 1663952588.454251, 'final_test_err': 0.3655000000000001, 'm': 100, 'epoch': 100, 'avg_err': 0.3352, 'run_num': 9, 'train_loss': 0.5219, 'n': 100, '_step': 1020, '_wandb': {'runtime': 940}, '_runtime': 940.6426730155944}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 90, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3uq28gap
52,2,0.3127,0.0232,90,"{'n': 100, 'epoch': 100, '_wandb': {'runtime': 983}, 'run_num': 9, 'std_err': 0.0232, '_runtime': 984.1019308567048, 'train_acc': 0.82, '_timestamp': 1663952692.8168988, 'train_loss': 0.4161, 'final_test_err': 0.34950000000000003, 'm': 200, '_step': 1020, 'avg_err': 0.3127}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 90, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3fsaqpfr
53,3,0.3086,0.0212,90,"{'std_err': 0.0212, '_runtime': 1098.1182515621183, 'train_loss': 0.3999, 'final_test_err': 0.348, 'm': 300, 'n': 100, '_wandb': {'runtime': 1097}, 'run_num': 9, 'train_acc': 0.8275, '_timestamp': 1663952881.6691976, '_step': 1020, 'epoch': 100, 'avg_err': 0.3086}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 90, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2a1ya1v5
54,4,0.3017,0.0173,90,"{'_step': 1020, '_wandb': {'runtime': 1241}, 'std_err': 0.0173, 'train_loss': 0.3832, 'final_test_err': 0.3205, 'm': 400, 'n': 100, 'epoch': 100, 'avg_err': 0.3017, 'run_num': 9, '_runtime': 1242.3974413871765, 'train_acc': 0.848, '_timestamp': 1663953252.3722763}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 90, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2ou4t21n
55,5,0.3067,0.0238,90,"{'n': 100, '_wandb': {'runtime': 1199}, 'run_num': 9, '_runtime': 1199.9959037303925, 'train_acc': 0.895, '_timestamp': 1663953252.9387317, 'train_loss': 0.3098, 'm': 500, '_step': 1020, 'epoch': 100, 'avg_err': 0.3067, 'std_err': 0.0238, 'final_test_err': 0.3235}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 90, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",183apjfq
56,10,0.3206,0.0195,90,"{'_runtime': 1317.4199485778809, 'train_acc': 0.95, '_wandb': {'runtime': 1316}, 'avg_err': 0.3206, 'run_num': 9, 'epoch': 100, 'std_err': 0.0195, '_timestamp': 1663953768.794757, 'train_loss': 0.1846, 'final_test_err': 0.3335, 'm': 1000, 'n': 100, '_step': 1020}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 90, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3gptu61x
57,20,0.3352,0.0161,90,"{'_runtime': 1590.6626081466677, 'train_acc': 0.9952, 'final_test_err': 0.33799999999999997, 'n': 100, '_step': 1020, 'epoch': 100, 'avg_err': 0.3352, 'std_err': 0.0161, 'm': 2000, '_wandb': {'runtime': 1590}, 'run_num': 9, '_timestamp': 1663954047.9778872, 'train_loss': 0.0522}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 90, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",5w094vtk
58,30,0.3318,0.0164,90,"{'epoch': 100, '_wandb': {'runtime': 1724}, 'avg_err': 0.3318, 'run_num': 9, '_runtime': 1725.0329551696775, '_timestamp': 1663954318.4349651, 'n': 100, '_step': 1020, 'train_acc': 0.999, 'train_loss': 0.0288, 'final_test_err': 0.32699999999999996, 'm': 3000, 'std_err': 0.0164}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 30, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 90, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",33bx5rm7
59,40,0.3339,0.0126,90,"{'std_err': 0.0126, '_runtime': 1892.8314909935, 'train_loss': 0.0645, 'm': 4000, 'n': 100, '_step': 1020, 'epoch': 100, 'avg_err': 0.3339, '_wandb': {'runtime': 1892}, 'run_num': 9, 'train_acc': 0.9917, '_timestamp': 1663954593.382297, 'final_test_err': 0.3245}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 40, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 90, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2myas0z5
60,0,0.3798,0.0397,135,"{'train_acc': 0.8, 'm': 0, 'epoch': 100, '_wandb': {'runtime': 994}, 'avg_err': 0.3798, '_runtime': 994.9283401966096, 'train_loss': 0.4804, 'final_test_err': 0.35, 'n': 100, '_step': 1020, 'run_num': 9, 'std_err': 0.0397, '_timestamp': 1663953744.535112}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 135, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3b7fw1jx
61,1,0.3348,0.0346,135,"{'_wandb': {'runtime': 954}, 'avg_err': 0.3348, 'run_num': 9, 'std_err': 0.0346, '_runtime': 955.6242129802704, '_timestamp': 1663953842.0646849, 'train_loss': 0.5386, 'n': 100, 'final_test_err': 0.365, '_step': 1020, 'epoch': 100, 'train_acc': 0.75, 'm': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 135, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2xnohsoq
62,2,0.3149,0.0266,135,"{'_runtime': 987.4092864990234, '_timestamp': 1663954037.0054414, 'train_loss': 0.4491, 'n': 100, '_step': 1020, 'epoch': 100, 'avg_err': 0.3149, 'std_err': 0.0266, 'm': 200, '_wandb': {'runtime': 986}, 'run_num': 9, 'train_acc': 0.8, 'final_test_err': 0.369}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 135, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3s9y5mub
63,3,0.3164,0.0248,135,"{'_timestamp': 1663954416.3097374, 'm': 300, 'n': 100, '_step': 1020, '_wandb': {'runtime': 1158}, 'avg_err': 0.3164, 'run_num': 9, 'train_acc': 0.82, 'final_test_err': 0.36, 'epoch': 100, 'std_err': 0.0248, '_runtime': 1158.9628293514252, 'train_loss': 0.4299}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 135, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2v4z63wx
64,4,0.3115,0.0222,135,"{'m': 400, 'n': 100, '_wandb': {'runtime': 1141}, 'avg_err': 0.3115, '_timestamp': 1663954400.3451867, 'train_loss': 0.427, 'final_test_err': 0.34299999999999997, '_step': 1020, 'epoch': 100, 'run_num': 9, 'std_err': 0.0222, '_runtime': 1142.2279977798462, 'train_acc': 0.826}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 135, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3rgq0sit
