,m_n,avg_error,std_error,task,sigma,summary,config,name
336,0,0.3425,0.0469,2,11,"{'_timestamp': 1661821695.559228, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 569}, 'avg_err': 0.3425, 'run_num': 9, '_runtime': 569.8458619117737, 'train_acc': 0.81, 'std_err': 0.0469, 'train_loss': 0.457, 'final_test_err': 0.3335}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 11, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",p98pf8j1
337,1,0.3214,0.0285,2,11,"{'_runtime': 593.3848824501038, 'train_loss': 0.4853, '_step': 1010, 'epoch': 100, 'avg_err': 0.3214, 'run_num': 9, 'std_err': 0.0285, '_wandb': {'runtime': 592}, 'train_acc': 0.79, '_timestamp': 1661821736.8831494, 'final_test_err': 0.354}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 11, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",kjym3ife
338,2,0.3153,0.0253,2,11,"{'run_num': 9, 'std_err': 0.0253, '_runtime': 613.2748806476593, 'train_acc': 0.7867, 'train_loss': 0.4714, '_step': 1010, '_wandb': {'runtime': 612}, 'avg_err': 0.3153, 'final_test_err': 0.3125, 'epoch': 100, '_timestamp': 1661821911.157683}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 11, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2nv279sd
339,3,0.308,0.0317,2,11,"{'train_acc': 0.78, '_timestamp': 1661822076.650209, 'final_test_err': 0.27049999999999996, 'epoch': 100, '_wandb': {'runtime': 726}, '_runtime': 727.276762008667, 'std_err': 0.0317, 'train_loss': 0.48, '_step': 1010, 'avg_err': 0.308, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 11, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2yn1kb31
340,4,0.3149,0.0285,2,11,"{'std_err': 0.0285, '_wandb': {'runtime': 770}, 'run_num': 9, 'avg_err': 0.3149, '_runtime': 771.400646686554, 'train_acc': 0.796, '_timestamp': 1661822266.5992558, 'train_loss': 0.4671, 'final_test_err': 0.29700000000000004, '_step': 1010, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 11, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",nlrj9sx1
341,5,0.3059,0.0224,2,11,"{'avg_err': 0.3059, 'run_num': 9, 'std_err': 0.0224, 'train_acc': 0.775, '_timestamp': 1661822284.631544, 'train_loss': 0.4811, 'final_test_err': 0.267, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 788}, '_runtime': 789.0860559940338}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 11, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",14l2zr0b
342,10,0.321,0.0218,2,11,"{'epoch': 100, 'avg_err': 0.321, 'std_err': 0.0218, '_timestamp': 1661822523.183698, 'train_loss': 0.471, 'final_test_err': 0.2875, '_step': 1010, 'run_num': 9, '_runtime': 867.3230700492859, 'train_acc': 0.79, '_wandb': {'runtime': 866}}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 11, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1d71o93n
343,20,0.3298,0.0268,2,11,"{'run_num': 9, 'std_err': 0.0268, '_runtime': 1013.7529816627502, 'train_acc': 0.7767, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 1013}, 'avg_err': 0.3298, 'train_loss': 0.4611, '_timestamp': 1661822715.2852466, 'final_test_err': 0.3425}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 11, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3itmbnps
344,0,0.3425,0.0469,2,12,"{'_step': 1010, 'epoch': 100, '_wandb': {'runtime': 569}, '_timestamp': 1661824084.8318424, 'train_loss': 0.457, 'avg_err': 0.3425, 'run_num': 9, 'std_err': 0.0469, '_runtime': 570.361257314682, 'train_acc': 0.81, 'final_test_err': 0.3335}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 12, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",3ld2iduv
345,1,0.3201,0.0274,2,12,"{'run_num': 9, 'std_err': 0.0274, '_timestamp': 1661824155.3481455, 'train_loss': 0.4896, 'final_test_err': 0.353, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 596}, 'avg_err': 0.3201, '_runtime': 597.5477538108826, 'train_acc': 0.795}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 12, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",322ddrnp
346,2,0.3176,0.0228,2,12,"{'avg_err': 0.3176, 'run_num': 9, 'std_err': 0.0228, '_runtime': 614.9306075572968, 'train_acc': 0.81, '_timestamp': 1661824332.2999566, 'final_test_err': 0.3225, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 614}, 'train_loss': 0.4734}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 12, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",8upjx48l
347,3,0.304,0.0305,2,12,"{'_wandb': {'runtime': 717}, 'run_num': 9, '_runtime': 718.2849786281586, 'final_test_err': 0.269, '_step': 1010, 'avg_err': 0.304, 'std_err': 0.0305, 'train_acc': 0.785, '_timestamp': 1661824439.9149115, 'train_loss': 0.4761, 'epoch': 100}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 12, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2w5qx8js
348,4,0.3073,0.0259,2,12,"{'epoch': 100, '_wandb': {'runtime': 759}, 'std_err': 0.0259, '_timestamp': 1661824646.135945, 'train_loss': 0.4561, 'final_test_err': 0.26449999999999996, '_step': 1010, 'avg_err': 0.3073, 'run_num': 9, '_runtime': 759.8883774280548, 'train_acc': 0.796}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 12, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",oewddihx
349,5,0.3105,0.0209,2,12,"{'epoch': 100, '_wandb': {'runtime': 788}, '_runtime': 789.0379030704498, '_timestamp': 1661824676.2513292, '_step': 1010, 'avg_err': 0.3105, 'run_num': 9, 'std_err': 0.0209, 'train_acc': 0.7717, 'train_loss': 0.494, 'final_test_err': 0.2905}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 12, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2x8qa8pc
350,10,0.3223,0.0292,2,12,"{'_wandb': {'runtime': 859}, 'run_num': 9, 'std_err': 0.0292, 'train_acc': 0.7764, 'final_test_err': 0.2975, '_step': 1010, 'epoch': 100, 'avg_err': 0.3223, '_runtime': 860.5739154815674, '_timestamp': 1661824899.4146924, 'train_loss': 0.4838}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 12, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1yfvenu7
351,20,0.33,0.0265,2,12,"{'epoch': 100, '_timestamp': 1661825099.6331203, 'final_test_err': 0.33899999999999997, 'train_loss': 0.4834, '_step': 1010, '_wandb': {'runtime': 1009}, 'avg_err': 0.33, 'run_num': 9, 'std_err': 0.0265, '_runtime': 1009.6732335090636, 'train_acc': 0.7652}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 12, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",28zkjyw8
352,0,0.3425,0.0469,2,13,"{'epoch': 100, '_wandb': {'runtime': 571}, 'avg_err': 0.3425, '_runtime': 572.0266163349152, 'final_test_err': 0.3335, '_step': 1010, 'std_err': 0.0469, 'train_acc': 0.81, '_timestamp': 1661826468.1376493, 'train_loss': 0.457, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 13, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",2rgg3reu
353,1,0.3198,0.0269,2,13,"{'_step': 1010, 'epoch': 100, 'avg_err': 0.3198, 'run_num': 9, '_runtime': 604.5754919052124, 'train_acc': 0.785, '_wandb': {'runtime': 603}, 'std_err': 0.0269, '_timestamp': 1661826592.538978, 'train_loss': 0.4941, 'final_test_err': 0.35050000000000003}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 13, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",tyliqzke
354,2,0.3176,0.0225,2,13,"{'run_num': 9, 'train_acc': 0.79, '_timestamp': 1661826670.2580009, 'final_test_err': 0.31799999999999995, 'std_err': 0.0225, '_runtime': 610.2293708324432, 'train_loss': 0.4759, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 609}, 'avg_err': 0.3176}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 13, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",u74diqwq
355,3,0.3035,0.0287,2,13,"{'run_num': 9, 'std_err': 0.0287, '_timestamp': 1661826869.063214, 'final_test_err': 0.27149999999999996, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 728}, 'avg_err': 0.3035, '_runtime': 729.3077139854431, 'train_acc': 0.785, 'train_loss': 0.484}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 13, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1gv7qy6d
356,4,0.31,0.0307,2,13,"{'final_test_err': 0.26549999999999996, '_step': 1010, '_wandb': {'runtime': 765}, 'avg_err': 0.31, 'run_num': 9, 'std_err': 0.0307, 'train_acc': 0.79, 'epoch': 100, '_runtime': 766.055602312088, '_timestamp': 1661827035.2573793, 'train_loss': 0.4585}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 13, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",pt1x2b2e
357,5,0.3102,0.0212,2,13,"{'_step': 1010, 'avg_err': 0.3102, 'std_err': 0.0212, 'train_acc': 0.7783, '_timestamp': 1661827091.7504654, 'train_loss': 0.4769, 'final_test_err': 0.28900000000000003, 'epoch': 100, '_wandb': {'runtime': 801}, 'run_num': 9, '_runtime': 801.5624322891235}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 13, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1mxymyn3
358,10,0.3184,0.0322,2,13,"{'train_acc': 0.78, 'epoch': 100, '_wandb': {'runtime': 874}, 'avg_err': 0.3184, 'run_num': 9, 'std_err': 0.0322, '_runtime': 874.8042895793915, '_step': 1010, '_timestamp': 1661827298.1014476, 'train_loss': 0.489, 'final_test_err': 0.29900000000000004}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 13, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1jrdrlhq
359,20,0.3314,0.0293,2,13,"{'run_num': 9, 'std_err': 0.0293, '_runtime': 1025.494711637497, 'train_acc': 0.759, 'final_test_err': 0.3145, '_step': 1010, 'epoch': 100, '_wandb': {'runtime': 1024}, 'avg_err': 0.3314, '_timestamp': 1661827498.349511, 'train_loss': 0.4934}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 13, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1rlcl5lo
360,0,0.3425,0.0469,2,14,"{'epoch': 100, 'train_acc': 0.81, '_timestamp': 1661828900.2166965, 'train_loss': 0.457, 'final_test_err': 0.3335, '_step': 1010, '_wandb': {'runtime': 583}, 'avg_err': 0.3425, 'run_num': 9, 'std_err': 0.0469, '_runtime': 584.7776491641998}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 14, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1r5fpkci
361,1,0.3194,0.0265,2,14,"{'train_acc': 0.78, 'train_loss': 0.5001, '_step': 1010, '_wandb': {'runtime': 612}, 'run_num': 9, 'std_err': 0.0265, '_runtime': 613.11345911026, 'epoch': 100, 'avg_err': 0.3194, '_timestamp': 1661829055.2582302, 'final_test_err': 0.356}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 14, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",29fcyhwe
362,2,0.3203,0.0248,2,14,"{'_step': 1010, '_runtime': 630.0600981712341, 'final_test_err': 0.3265, '_timestamp': 1661829164.6180172, 'train_loss': 0.4893, 'epoch': 100, '_wandb': {'runtime': 629}, 'avg_err': 0.3203, 'run_num': 9, 'std_err': 0.0248, 'train_acc': 0.78}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 14, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",xty7kv0c
363,3,0.3052,0.0327,2,14,"{'_wandb': {'runtime': 739}, 'avg_err': 0.3052, 'train_acc': 0.7975, 'train_loss': 0.4755, '_runtime': 740.3192410469055, '_timestamp': 1661829283.170636, 'final_test_err': 0.272, '_step': 1010, 'epoch': 100, 'run_num': 9, 'std_err': 0.0327}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 14, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",34jllykt
364,4,0.3137,0.03,2,14,"{'epoch': 100, 'run_num': 9, '_runtime': 786.712557554245, 'final_test_err': 0.2935, '_step': 1010, 'avg_err': 0.3137, 'std_err': 0.03, 'train_acc': 0.796, '_timestamp': 1661829469.7202024, 'train_loss': 0.4631, '_wandb': {'runtime': 785}}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 14, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",81cwmc1y
365,5,0.3153,0.0265,2,14,"{'final_test_err': 0.2855, '_step': 1010, 'train_acc': 0.785, '_timestamp': 1661829529.3649938, 'train_loss': 0.4737, 'std_err': 0.0265, '_runtime': 805.8270757198334, 'epoch': 100, '_wandb': {'runtime': 804}, 'avg_err': 0.3153, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'tag': '07_blurred_cifar10_wrn/task_agnostic', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'angle': 'None', 'sigma': 14, 'target': 2, 'augment': False, 'dataset': 'blurred_cifar10', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2'}",1jh286cn
