,m_n,m,avg_error,std_error,task,target,ood,summary,config,name
10,10,300,0.5492,0.02,0,P,A,"{'m': 300, 'epoch': 100, 'avg_err': 0.5492, '_timestamp': 1663548055.2930791, 'train_acc': 1, 'train_loss': 0.002, 'n': 30, '_step': 1020, '_wandb': {'runtime': 5189}, 'run_num': 9, 'std_err': 0.02, '_runtime': 5190.098681211472, 'final_test_err': 0.5711060948081264}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'A', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",14yt9kul
11,0,0,0.5801,0.0194,0,P,C,"{'_runtime': 914.9342906475068, 'train_loss': 0.0027, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 914}, 'avg_err': 0.5801, 'run_num': 9, 'final_test_err': 0.5485327313769752, 'm': 0, 'n': 30, 'std_err': 0.0194, 'train_acc': 1, '_timestamp': 1663532972.3107195}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",cu5o39ge
12,1,30,0.5686,0.0199,0,P,C,"{'_wandb': {'runtime': 1379}, 'avg_err': 0.5686, 'std_err': 0.0199, '_timestamp': 1663533436.9243524, 'train_loss': 0.0332, 'final_test_err': 0.5372460496613995, 'train_acc': 1, 'm': 30, 'n': 30, '_step': 1020, 'epoch': 100, 'run_num': 9, '_runtime': 1379.5585613250732}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3ld7celi
13,2,60,0.5684,0.0189,0,P,C,"{'avg_err': 0.5684, 'std_err': 0.0189, 'train_acc': 1, '_timestamp': 1663533914.975258, 'm': 60, '_step': 1020, '_wandb': {'runtime': 1857}, '_runtime': 1857.601140975952, 'train_loss': 0.0067, 'final_test_err': 0.54627539503386, 'n': 30, 'epoch': 100, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",38zag88d
14,3,90,0.5684,0.0136,0,P,C,"{'epoch': 100, 'run_num': 9, 'std_err': 0.0136, '_timestamp': 1663534361.096849, 'train_loss': 0.007, 'final_test_err': 0.5665914221218962, 'n': 30, '_step': 1020, 'avg_err': 0.5684, '_runtime': 2303.719673871994, 'train_acc': 1, 'm': 90, '_wandb': {'runtime': 2303}}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1etfl25j
15,4,120,0.5795,0.0167,0,P,C,"{'m': 120, 'epoch': 100, 'avg_err': 0.5795, 'train_loss': 0.0109, 'std_err': 0.0167, '_runtime': 2774.4220173358917, 'train_acc': 1, '_timestamp': 1663534831.7994304, 'n': 30, '_step': 1020, '_wandb': {'runtime': 2774}, 'run_num': 9, 'final_test_err': 0.5846501128668171}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1l7ay7jj
16,5,150,0.5686,0.0242,0,P,C,"{'_step': 1020, 'epoch': 100, 'avg_err': 0.5686, '_timestamp': 1663535294.0161517, 'train_loss': 0.0124, 'final_test_err': 0.582392776523702, 'm': 150, 'n': 30, 'std_err': 0.0242, '_runtime': 3236.3375096321106, 'train_acc': 1, '_wandb': {'runtime': 3235}, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1gc3fhwg
17,6,180,0.5822,0.0219,0,P,C,"{'avg_err': 0.5822, 'run_num': 9, 'final_test_err': 0.5891647855530474, '_wandb': {'runtime': 3724}, 'std_err': 0.0219, '_runtime': 3724.6707813739777, 'train_acc': 1, 'm': 180, 'n': 30, '_step': 1020, 'epoch': 100, '_timestamp': 1663535782.0449424, 'train_loss': 0.0084}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 6, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1bvktoxb
18,7,210,0.5747,0.0215,0,P,C,"{'_runtime': 3966.214015960694, 'train_acc': 1, 'train_loss': 0.0026, 'final_test_err': 0.5778781038374718, 'n': 30, 'epoch': 100, 'run_num': 9, 'std_err': 0.0215, '_timestamp': 1663536023.591858, 'm': 210, '_step': 1020, '_wandb': {'runtime': 3965}, 'avg_err': 0.5747}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 7, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1aqs0xdo
19,8,240,0.5777,0.0279,0,P,C,"{'run_num': 9, 'train_acc': 1, '_timestamp': 1663536548.481984, 'train_loss': 0.0014, 'm': 240, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 4490}, 'avg_err': 0.5777, 'std_err': 0.0279, '_runtime': 4491.020532846451, 'final_test_err': 0.5553047404063205, 'n': 30}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 8, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",7uqavyyn
20,9,270,0.5722,0.0369,0,P,C,"{'_runtime': 4934.192334890366, 'train_acc': 1, '_timestamp': 1663536991.5687988, 'train_loss': 0.0018, 'epoch': 100, '_wandb': {'runtime': 4933}, 'run_num': 9, 'avg_err': 0.5722, 'std_err': 0.0369, 'final_test_err': 0.5395033860045146, 'm': 270, 'n': 30, '_step': 1020}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 9, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3brdg5og
21,10,300,0.5747,0.0364,0,P,C,"{'_wandb': {'runtime': 5140}, 'avg_err': 0.5747, '_timestamp': 1663538120.021294, 'train_loss': 0.0023, 'm': 300, 'n': 30, '_step': 1020, 'epoch': 100, 'run_num': 9, 'std_err': 0.0364, '_runtime': 5141.874821901321, 'train_acc': 1, 'final_test_err': 0.5778781038374718}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",231xma14
22,0,0,0.5801,0.0194,0,P,P,"{'_timestamp': 1663544217.0339851, 'm': 0, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 905}, 'std_err': 0.0194, '_runtime': 906.5099210739136, 'train_acc': 1, 'train_loss': 0.0027, 'n': 30, 'avg_err': 0.5801, 'run_num': 9, 'final_test_err': 0.5485327313769752}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",utpzwezy
23,1,30,0.514,0.0363,0,P,P,"{'std_err': 0.0363, '_runtime': 1392.7477223873138, '_timestamp': 1663545172.0106034, 'train_loss': 0.0244, 'n': 30, '_step': 1020, '_wandb': {'runtime': 1392}, 'run_num': 9, 'train_acc': 1, 'final_test_err': 0.4492099322799097, 'm': 30, 'epoch': 100, 'avg_err': 0.514}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3jy6eawn
24,2,60,0.467,0.0192,0,P,P,"{'train_loss': 0.0029, 'm': 60, 'n': 30, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1893}, 'run_num': 9, '_runtime': 1894.5675899982452, 'avg_err': 0.467, 'std_err': 0.0192, 'train_acc': 1, '_timestamp': 1663546116.831816, 'final_test_err': 0.4785553047404063}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1avr9esc
25,3,90,0.4181,0.0285,0,P,P,"{'std_err': 0.0285, '_runtime': 2437.2891716957092, '_timestamp': 1663546703.8301556, 'm': 90, '_step': 1020, 'epoch': 100, 'run_num': 9, 'train_loss': 0.0026, 'final_test_err': 0.4085778781038375, 'n': 30, '_wandb': {'runtime': 2436}, 'avg_err': 0.4181, 'train_acc': 1}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",8qp0zuih
26,4,120,0.3898,0.0278,0,P,P,"{'m': 120, 'run_num': 9, '_runtime': 2805.2269146442413, 'final_test_err': 0.39503386004514673, 'avg_err': 0.3898, 'std_err': 0.0278, 'train_acc': 1, '_timestamp': 1663547548.3010857, 'n': 30, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 2804}, 'train_loss': 0.0065}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3nc2rovc
27,5,150,0.365,0.0243,0,P,P,"{'epoch': 100, '_wandb': {'runtime': 2997}, 'avg_err': 0.365, '_timestamp': 1663548174.49307, 'train_loss': 0.0112, 'm': 150, 'n': 30, 'std_err': 0.0243, '_runtime': 2998.5838482379913, 'train_acc': 1, 'final_test_err': 0.381489841986456, '_step': 1020, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2ol9gzzp
28,6,180,0.3352,0.0241,0,P,P,"{'n': 30, '_wandb': {'runtime': 3260}, 'avg_err': 0.3352, 'run_num': 9, '_runtime': 3261.057038784027, '_timestamp': 1663548437.4182017, 'final_test_err': 0.35440180586907444, 'm': 180, '_step': 1020, 'epoch': 100, 'std_err': 0.0241, 'train_acc': 1, 'train_loss': 0.0124}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 6, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3ppo5z4m
